model,config,brand,type,start,in,out,available,note
"Honor X8D","8/256","HONOR","Regular","90","0","40","50",""
"Honor X9D","8/256","HONOR","Regular","119","0","0","119",""
"Honor 600 lite","","HONOR","Regular","196","0","0","196",""
"Honor 600 Pro","","HONOR","Regular","196","0","50","146","50 dispatched 7 Jun"
"Honor Pad X8b","4/128","HONOR","Regular","30","0","10","20",""
"Honor Pad X9a","6/128","HONOR","Regular","30","0","10","20",""
"Redmi Note15","8/256","REDMI","Regular","400","0","0","400",""
"Redmi Note15 Pro","8/256","REDMI","Regular","200","0","0","200",""
"Redmi Note15 Pro","12/512","REDMI","Regular","150","0","0","150",""
"Redmi Note 15 Pro (5G)","12/512","REDMI","Regular","180","0","0","180",""
"Redmi Pad 2","6/128","REDMI","Regular","20","20","20","20",""
"Redmi Pad 2","8/256","REDMI","Regular","30","20","20","30",""
"OnePlus Nord 6","8/256","ONEPLUS","Regular","68","0","0","68",""
"OnePlus Nord 6","12/512","ONEPLUS","Regular","72","0","0","72",""
"OnePlus 15 R","12/512","ONEPLUS","Regular","30","0","0","30",""
"OnePlus 15 R","12/256","ONEPLUS","Regular","100","0","0","100",""
"Honor 600 Lite","12/256","HONOR","LMP","21","5","0","26",""
"Honor 600","12/512","HONOR","LMP","66","0","0","66",""
"Honor 600 Pro","","HONOR","LMP","6","0","0","6",""
"Honor 400","256","HONOR","LMP","78","0","0","78",""
"Honor 400","12/512","HONOR","LMP","66","40","0","106","Received 40 units 7 Jun"
"Honor 400 Pro","","HONOR","LMP","50","0","0","50",""
"Honor X9d","8/256","HONOR","LMP","3","0","0","3",""
"Honor X9d","12/512","HONOR","LMP","72","0","0","72",""
"Magic 8 Pro","12/512","HONOR","LMP","5","0","0","5",""
"Honor 400 lite","","HONOR","Repair","5","0","0","5",""
"Honor 400 Pro","","HONOR","Repair","1","0","0","1",""
"Honor X9c","","HONOR","Repair","2","0","0","2",""
"Redmi Note 15 4G","8/256","REDMI","Repair","2","0","0","2",""
"Honor 600","8/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600","8/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600","8/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600","12/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600","12/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600","12/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600 Pro","12/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600 Pro","12/256","HONOR","Regular","0","0","0","0","2nd Floor 4 July log • in hands | 9 July inventory update – stock reset to zero"
"Honor 600 Lite","8/256","HONOR","Regular","0","0","0","0","New House stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 600 Lite","12/256","HONOR","LMP","0","0","0","0","New House stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 600 Lite","12/256","HONOR","LMP","0","0","0","0","New House stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 400","12/256","HONOR","LMP","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 400","12/512","HONOR","LMP","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 400","12/512","HONOR","LMP","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
"Honor 400 Lite","12/256","HONOR","Repair","0","0","0","0","Repair pool • in hands | 9 July inventory update – stock reset to zero"
"Honor 400 Lite","12/256","HONOR","Repair","0","0","0","0","Repair pool • in hands | 9 July inventory update – stock reset to zero"
"Honor 400 Pro","12/256","HONOR","Repair","0","0","0","0","Repair pool • in hands | 9 July inventory update – stock reset to zero"
"Honor Magic 8 Pro","12/512","HONOR","Regular","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
"Honor Magic 8 Pro","12/512","HONOR","Regular","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
"Honor Magic 8 Pro","12/512","HONOR","Regular","0","0","0","0","Main house stock • in hands | 9 July inventory update – stock reset to zero"
